area_code,year,median_gross_annual_pay
E09000030,1998,31000
E09000030,1999,31450
E09000030,2000,31900
E09000030,2001,32350
E09000030,2002,32800
E09000030,2003,33250
E09000030,2004,33700
E09000030,2005,34150
E09000030,2006,34600
E09000030,2007,35050
E09000030,2008,35500
E09000030,2009,35950
E09000030,2010,36400
E09000030,2011,36850
E09000030,2012,37300
E09000030,2013,37750
E09000030,2014,38200
E09000030,2015,38650
E09000030,2016,39100
E09000030,2017,39550
E09000030,2018,40000
E09000030,2019,40450
E09000030,2020,40900
E09000030,2021,41350
E09000030,2022,41800
E09000030,2023,42250
E09000030,2024,42700
E07000240,1998,38000
E07000240,1999,38450
E07000240,2000,38900
E07000240,2001,39350
E07000240,2002,39800
E07000240,2003,40250
E07000240,2004,40700
E07000240,2005,41150
E07000240,2006,41600
E07000240,2007,42050
E07000240,2008,42500
E07000240,2009,42950
E07000240,2010,43400
E07000240,2011,43850
E07000240,2012,44300
E07000240,2013,44750
E07000240,2014,45200
E07000240,2015,45650
E07000240,2016,46100
E07000240,2017,46550
E07000240,2018,47000
E07000240,2019,47450
E07000240,2020,47900
E07000240,2021,48350
E07000240,2022,48800
E07000240,2023,49250
E07000240,2024,49700
E08000035,1998,29500
E08000035,1999,29950
E08000035,2000,30400
E08000035,2001,30850
E08000035,2002,31300
E08000035,2003,31750
E08000035,2004,32200
E08000035,2005,32650
E08000035,2006,33100
E08000035,2007,33550
E08000035,2008,34000
E08000035,2009,34450
E08000035,2010,34900
E08000035,2011,35350
E08000035,2012,35800
E08000035,2013,36250
E08000035,2014,36700
E08000035,2015,37150
E08000035,2016,37600
E08000035,2017,38050
E08000035,2018,38500
E08000035,2019,38950
E08000035,2020,39400
E08000035,2021,39850
E08000035,2022,40300
E08000035,2023,40750
E08000035,2024,41200
E06000043,1998,30500
E06000043,1999,30950
E06000043,2000,31400
E06000043,2001,31850
E06000043,2002,32300
E06000043,2003,32750
E06000043,2004,33200
E06000043,2005,33650
E06000043,2006,34100
E06000043,2007,34550
E06000043,2008,35000
E06000043,2009,35450
E06000043,2010,35900
E06000043,2011,36350
E06000043,2012,36800
E06000043,2013,37250
E06000043,2014,37700
E06000043,2015,38150
E06000043,2016,38600
E06000043,2017,39050
E06000043,2018,39500
E06000043,2019,39950
E06000043,2020,40400
E06000043,2021,40850
E06000043,2022,41300
E06000043,2023,41750
E06000043,2024,42200
E07000117,1998,26500
E07000117,1999,26950
E07000117,2000,27400
E07000117,2001,27850
E07000117,2002,28300
E07000117,2003,28750
E07000117,2004,29200
E07000117,2005,29650
E07000117,2006,30100
E07000117,2007,30550
E07000117,2008,31000
E07000117,2009,31450
E07000117,2010,31900
E07000117,2011,32350
E07000117,2012,32800
E07000117,2013,33250
E07000117,2014,33700
E07000117,2015,34150
E07000117,2016,34600
E07000117,2017,35050
E07000117,2018,35500
E07000117,2019,35950
E07000117,2020,36400
E07000117,2021,36850
E07000117,2022,37300
E07000117,2023,37750
E07000117,2024,38200
E09000007,1998,31000
E09000007,1999,31450
E09000007,2000,31900
E09000007,2001,32350
E09000007,2002,32800
E09000007,2003,33250
E09000007,2004,33700
E09000007,2005,34150
E09000007,2006,34600
E09000007,2007,35050
E09000007,2008,35500
E09000007,2009,35950
E09000007,2010,36400
E09000007,2011,36850
E09000007,2012,37300
E09000007,2013,37750
E09000007,2014,38200
E09000007,2015,38650
E09000007,2016,39100
E09000007,2017,39550
E09000007,2018,40000
E09000007,2019,40450
E09000007,2020,40900
E09000007,2021,41350
E09000007,2022,41800
E09000007,2023,42250
E09000007,2024,42700
E09000012,1998,31000
E09000012,1999,31450
E09000012,2000,31900
E09000012,2001,32350
E09000012,2002,32800
E09000012,2003,33250
E09000012,2004,33700
E09000012,2005,34150
E09000012,2006,34600
E09000012,2007,35050
E09000012,2008,35500
E09000012,2009,35950
E09000012,2010,36400
E09000012,2011,36850
E09000012,2012,37300
E09000012,2013,37750
E09000012,2014,38200
E09000012,2015,38650
E09000012,2016,39100
E09000012,2017,39550
E09000012,2018,40000
E09000012,2019,40450
E09000012,2020,40900
E09000012,2021,41350
E09000012,2022,41800
E09000012,2023,42250
E09000012,2024,42700
E09000014,1998,31000
E09000014,1999,31450
E09000014,2000,31900
E09000014,2001,32350
E09000014,2002,32800
E09000014,2003,33250
E09000014,2004,33700
E09000014,2005,34150
E09000014,2006,34600
E09000014,2007,35050
E09000014,2008,35500
E09000014,2009,35950
E09000014,2010,36400
E09000014,2011,36850
E09000014,2012,37300
E09000014,2013,37750
E09000014,2014,38200
E09000014,2015,38650
E09000014,2016,39100
E09000014,2017,39550
E09000014,2018,40000
E09000014,2019,40450
E09000014,2020,40900
E09000014,2021,41350
E09000014,2022,41800
E09000014,2023,42250
E09000014,2024,42700
E09000019,1998,31000
E09000019,1999,31450
E09000019,2000,31900
E09000019,2001,32350
E09000019,2002,32800
E09000019,2003,33250
E09000019,2004,33700
E09000019,2005,34150
E09000019,2006,34600
E09000019,2007,35050
E09000019,2008,35500
E09000019,2009,35950
E09000019,2010,36400
E09000019,2011,36850
E09000019,2012,37300
E09000019,2013,37750
E09000019,2014,38200
E09000019,2015,38650
E09000019,2016,39100
E09000019,2017,39550
E09000019,2018,40000
E09000019,2019,40450
E09000019,2020,40900
E09000019,2021,41350
E09000019,2022,41800
E09000019,2023,42250
E09000019,2024,42700
