area_code,year,median_ratio
E09000030,1998,9.2
E09000030,1999,9.28
E09000030,2000,9.36
E09000030,2001,9.44
E09000030,2002,9.52
E09000030,2003,9.6
E09000030,2004,9.68
E09000030,2005,9.76
E09000030,2006,9.84
E09000030,2007,9.92
E09000030,2008,10.0
E09000030,2009,10.08
E09000030,2010,10.16
E09000030,2011,10.24
E09000030,2012,10.32
E09000030,2013,10.4
E09000030,2014,10.48
E09000030,2015,10.56
E09000030,2016,10.64
E09000030,2017,10.72
E09000030,2018,10.8
E09000030,2019,10.88
E09000030,2020,10.96
E09000030,2021,11.04
E09000030,2022,11.12
E09000030,2023,11.2
E09000030,2024,11.28
E07000240,1998,11.5
E07000240,1999,11.58
E07000240,2000,11.66
E07000240,2001,11.74
E07000240,2002,11.82
E07000240,2003,11.9
E07000240,2004,11.98
E07000240,2005,12.06
E07000240,2006,12.14
E07000240,2007,12.22
E07000240,2008,12.3
E07000240,2009,12.38
E07000240,2010,12.46
E07000240,2011,12.54
E07000240,2012,12.62
E07000240,2013,12.7
E07000240,2014,12.78
E07000240,2015,12.86
E07000240,2016,12.94
E07000240,2017,13.02
E07000240,2018,13.1
E07000240,2019,13.18
E07000240,2020,13.26
E07000240,2021,13.34
E07000240,2022,13.42
E07000240,2023,13.5
E07000240,2024,13.58
E08000035,1998,7.8
E08000035,1999,7.88
E08000035,2000,7.96
E08000035,2001,8.04
E08000035,2002,8.12
E08000035,2003,8.2
E08000035,2004,8.28
E08000035,2005,8.36
E08000035,2006,8.44
E08000035,2007,8.52
E08000035,2008,8.6
E08000035,2009,8.68
E08000035,2010,8.76
E08000035,2011,8.84
E08000035,2012,8.92
E08000035,2013,9.0
E08000035,2014,9.08
E08000035,2015,9.16
E08000035,2016,9.24
E08000035,2017,9.32
E08000035,2018,9.4
E08000035,2019,9.48
E08000035,2020,9.56
E08000035,2021,9.64
E08000035,2022,9.72
E08000035,2023,9.8
E08000035,2024,9.88
E06000043,1998,10.1
E06000043,1999,10.18
E06000043,2000,10.26
E06000043,2001,10.34
E06000043,2002,10.42
E06000043,2003,10.5
E06000043,2004,10.58
E06000043,2005,10.66
E06000043,2006,10.74
E06000043,2007,10.82
E06000043,2008,10.9
E06000043,2009,10.98
E06000043,2010,11.06
E06000043,2011,11.14
E06000043,2012,11.22
E06000043,2013,11.3
E06000043,2014,11.38
E06000043,2015,11.46
E06000043,2016,11.54
E06000043,2017,11.62
E06000043,2018,11.7
E06000043,2019,11.78
E06000043,2020,11.86
E06000043,2021,11.94
E06000043,2022,12.02
E06000043,2023,12.1
E06000043,2024,12.18
E07000117,1998,6.5
E07000117,1999,6.58
E07000117,2000,6.66
E07000117,2001,6.74
E07000117,2002,6.82
E07000117,2003,6.9
E07000117,2004,6.98
E07000117,2005,7.06
E07000117,2006,7.14
E07000117,2007,7.22
E07000117,2008,7.3
E07000117,2009,7.38
E07000117,2010,7.46
E07000117,2011,7.54
E07000117,2012,7.62
E07000117,2013,7.7
E07000117,2014,7.78
E07000117,2015,7.86
E07000117,2016,7.94
E07000117,2017,8.02
E07000117,2018,8.1
E07000117,2019,8.18
E07000117,2020,8.26
E07000117,2021,8.34
E07000117,2022,8.42
E07000117,2023,8.5
E07000117,2024,8.58
E09000007,1998,9.2
E09000007,1999,9.28
E09000007,2000,9.36
E09000007,2001,9.44
E09000007,2002,9.52
E09000007,2003,9.6
E09000007,2004,9.68
E09000007,2005,9.76
E09000007,2006,9.84
E09000007,2007,9.92
E09000007,2008,10.0
E09000007,2009,10.08
E09000007,2010,10.16
E09000007,2011,10.24
E09000007,2012,10.32
E09000007,2013,10.4
E09000007,2014,10.48
E09000007,2015,10.56
E09000007,2016,10.64
E09000007,2017,10.72
E09000007,2018,10.8
E09000007,2019,10.88
E09000007,2020,10.96
E09000007,2021,11.04
E09000007,2022,11.12
E09000007,2023,11.2
E09000007,2024,11.28
E09000012,1998,9.2
E09000012,1999,9.28
E09000012,2000,9.36
E09000012,2001,9.44
E09000012,2002,9.52
E09000012,2003,9.6
E09000012,2004,9.68
E09000012,2005,9.76
E09000012,2006,9.84
E09000012,2007,9.92
E09000012,2008,10.0
E09000012,2009,10.08
E09000012,2010,10.16
E09000012,2011,10.24
E09000012,2012,10.32
E09000012,2013,10.4
E09000012,2014,10.48
E09000012,2015,10.56
E09000012,2016,10.64
E09000012,2017,10.72
E09000012,2018,10.8
E09000012,2019,10.88
E09000012,2020,10.96
E09000012,2021,11.04
E09000012,2022,11.12
E09000012,2023,11.2
E09000012,2024,11.28
E09000014,1998,9.2
E09000014,1999,9.28
E09000014,2000,9.36
E09000014,2001,9.44
E09000014,2002,9.52
E09000014,2003,9.6
E09000014,2004,9.68
E09000014,2005,9.76
E09000014,2006,9.84
E09000014,2007,9.92
E09000014,2008,10.0
E09000014,2009,10.08
E09000014,2010,10.16
E09000014,2011,10.24
E09000014,2012,10.32
E09000014,2013,10.4
E09000014,2014,10.48
E09000014,2015,10.56
E09000014,2016,10.64
E09000014,2017,10.72
E09000014,2018,10.8
E09000014,2019,10.88
E09000014,2020,10.96
E09000014,2021,11.04
E09000014,2022,11.12
E09000014,2023,11.2
E09000014,2024,11.28
E09000019,1998,9.2
E09000019,1999,9.28
E09000019,2000,9.36
E09000019,2001,9.44
E09000019,2002,9.52
E09000019,2003,9.6
E09000019,2004,9.68
E09000019,2005,9.76
E09000019,2006,9.84
E09000019,2007,9.92
E09000019,2008,10.0
E09000019,2009,10.08
E09000019,2010,10.16
E09000019,2011,10.24
E09000019,2012,10.32
E09000019,2013,10.4
E09000019,2014,10.48
E09000019,2015,10.56
E09000019,2016,10.64
E09000019,2017,10.72
E09000019,2018,10.8
E09000019,2019,10.88
E09000019,2020,10.96
E09000019,2021,11.04
E09000019,2022,11.12
E09000019,2023,11.2
E09000019,2024,11.28
