Date,RegionName,AreaCode,AveragePrice,Index,year_month,bank_rate_pct,median_ratio,net_additional_dwellings_fy,median_gross_annual_pay,ppd_median_price,ppd_sales_count
2020-01-01,Tower Hamlets,E09000030,250000,100,2020-01,1.0,8.5,,42000,,
2020-02-01,Tower Hamlets,E09000030,250000,100,2020-02,1.0,8.5,,42000,,
2020-03-01,Tower Hamlets,E09000030,250000,100,2020-03,1.0,8.5,,42000,,
2020-04-01,Tower Hamlets,E09000030,250000,100,2020-04,1.0,8.5,,42000,,
2020-05-01,Tower Hamlets,E09000030,250000,100,2020-05,1.0,8.5,,42000,,
2020-06-01,Tower Hamlets,E09000030,250000,100,2020-06,1.0,8.5,,42000,,
2020-07-01,Tower Hamlets,E09000030,250000,100,2020-07,1.0,8.5,,42000,,
2020-08-01,Tower Hamlets,E09000030,250000,100,2020-08,1.0,8.5,,42000,,
2020-09-01,Tower Hamlets,E09000030,250000,100,2020-09,1.0,8.5,,42000,,
2020-10-01,Tower Hamlets,E09000030,250000,100,2020-10,1.0,8.5,,42000,,
2020-11-01,Tower Hamlets,E09000030,250000,100,2020-11,1.0,8.5,,42000,,
2020-12-01,Tower Hamlets,E09000030,250000,100,2020-12,1.0,8.5,,42000,,
2021-01-01,Tower Hamlets,E09000030,250000,100,2021-01,1.0,8.5,,42000,,
2021-02-01,Tower Hamlets,E09000030,250000,100,2021-02,1.0,8.5,,42000,,
2021-03-01,Tower Hamlets,E09000030,250000,100,2021-03,1.0,8.5,,42000,,
2021-04-01,Tower Hamlets,E09000030,250000,100,2021-04,1.0,8.5,,42000,,
2021-05-01,Tower Hamlets,E09000030,250000,100,2021-05,1.0,8.5,,42000,,
2021-06-01,Tower Hamlets,E09000030,250000,100,2021-06,1.0,8.5,,42000,,
2021-07-01,Tower Hamlets,E09000030,250000,100,2021-07,1.0,8.5,,42000,,
2021-08-01,Tower Hamlets,E09000030,250000,100,2021-08,1.0,8.5,,42000,,
2021-09-01,Tower Hamlets,E09000030,250000,100,2021-09,1.0,8.5,,42000,,
2021-10-01,Tower Hamlets,E09000030,250000,100,2021-10,1.0,8.5,,42000,,
2021-11-01,Tower Hamlets,E09000030,250000,100,2021-11,1.0,8.5,,42000,,
2021-12-01,Tower Hamlets,E09000030,250000,100,2021-12,1.0,8.5,,42000,,
2020-01-01,St Albans,E07000240,250000,100,2020-01,1.0,8.5,,42000,,
2020-02-01,St Albans,E07000240,250000,100,2020-02,1.0,8.5,,42000,,
2020-03-01,St Albans,E07000240,250000,100,2020-03,1.0,8.5,,42000,,
2020-04-01,St Albans,E07000240,250000,100,2020-04,1.0,8.5,,42000,,
2020-05-01,St Albans,E07000240,250000,100,2020-05,1.0,8.5,,42000,,
2020-06-01,St Albans,E07000240,250000,100,2020-06,1.0,8.5,,42000,,
2020-07-01,St Albans,E07000240,250000,100,2020-07,1.0,8.5,,42000,,
2020-08-01,St Albans,E07000240,250000,100,2020-08,1.0,8.5,,42000,,
2020-09-01,St Albans,E07000240,250000,100,2020-09,1.0,8.5,,42000,,
2020-10-01,St Albans,E07000240,250000,100,2020-10,1.0,8.5,,42000,,
2020-11-01,St Albans,E07000240,250000,100,2020-11,1.0,8.5,,42000,,
2020-12-01,St Albans,E07000240,250000,100,2020-12,1.0,8.5,,42000,,
2021-01-01,St Albans,E07000240,250000,100,2021-01,1.0,8.5,,42000,,
2021-02-01,St Albans,E07000240,250000,100,2021-02,1.0,8.5,,42000,,
2021-03-01,St Albans,E07000240,250000,100,2021-03,1.0,8.5,,42000,,
2021-04-01,St Albans,E07000240,250000,100,2021-04,1.0,8.5,,42000,,
2021-05-01,St Albans,E07000240,250000,100,2021-05,1.0,8.5,,42000,,
2021-06-01,St Albans,E07000240,250000,100,2021-06,1.0,8.5,,42000,,
2021-07-01,St Albans,E07000240,250000,100,2021-07,1.0,8.5,,42000,,
2021-08-01,St Albans,E07000240,250000,100,2021-08,1.0,8.5,,42000,,
2021-09-01,St Albans,E07000240,250000,100,2021-09,1.0,8.5,,42000,,
2021-10-01,St Albans,E07000240,250000,100,2021-10,1.0,8.5,,42000,,
